clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix_dur,Label
clear,3,454,48.21,196,1642,14.76,1037,3153,8.25,1919,48.21,237,1.94,0,-39.95897,0.069500521,110,0.045,0
clear,3,675,40.19,418,1003,37.26,292,2486,3.91,1238,43.69,172,8.03,-3.5,-39.78342,0.042246436,75,0.039,0
clear,3,846,32.29,608,1664,15.11,1222,2456,7.85,1164,46.27,194,10.28,-13.98,-38.41581,0.061719076,80,0.058,0
clear,3,746,34.55,567,1772,12.91,1086,2406,11.05,1319,47.98,194,10.93,-13.43,-36.92643,0.03563601,70,0.049,0
clear,3,670,45.33,181,1935,36.94,153,2942,27.23,320,48.65,194,5.03,-3.32,-21.42012,0.104284661,97,0.058,0
clear,3,367,48,694,1317,30.39,232,2583,-0.08,970,48,215,13.05,0,-48.0836,0.052666193,80,0.049,0
clear,3,763,48.29,616,917,48.29,649,2719,6.3,1431,48.54,237,5.66,-0.25,-42.24249,0.071057619,166,0.048,0
clear,3,549,42.82,311,1223,41.88,131,1937,21.41,644,48.33,258,9.04,-5.51,-26.91571,0.063746551,105,0.037,0
clear,3,391,49.93,432,1690,15.79,1010,2283,11.27,1985,49.93,194,7.29,0,-38.65929,0.091204558,104,0.058,0
clear,3,823,44.29,491,1303,41.49,304,2624,10.16,950,48.69,237,7.42,-4.4,-38.53432,0.076538336,94,0.08,0
clear,3,715,44.44,528,1340,47.19,90,3241,27.59,195,49.5,215,6.43,-5.06,-21.91274,0.082964709,114,0.045,0
clear,3,585,35.84,668,1313,35.84,215,2246,16.46,1074,45.95,194,12.86,-10.11,-29.49279,0.070296401,92,0.041,0
clear,3,379,34.45,395,1725,5.3,2864,2637,-2.28,476,46.45,172,12.88,-12,-48.72858,0.047071071,85,0.04,0
