vowelSAMPA,F1_Hz,F2_Hz,F3_Hz,target
ɑ̃,259,1031,2875,1
ɑ̃,273,1131,2912,1
ɛ̃,776,1333,3063,1
ɛ̃,764,1320,3257,1
ɛ̃,743,1257,3421,1
ɛ̃,312,1183,1814,1
ɛ̃,274,1221,3198,1
ɑ̃,496,1155,2919,1
ɑ̃,568,892,3299,1
ɑ̃,460,848,3037,1
ɑ̃,775,3066,3895,1
ɑ̃,289,980,2565,1
ɔ̃,426,1005,2697,1
ɔ̃,430,1120,3095,1
ɔ̃,432,1050,3097,1
ɔ̃,336,1001,3344,1
ɔ̃,263,1066,3377,1
ɔ̃,352,911,2607,1
ɔ̃,357,941,2832,1
ɔ̃,331,1044,2760,1
ɔ̃,274,1088,2859,1
ɔ̃,280,1122,2747,1
ɑ̃,459,1051,3060,1
ɑ̃,395,853,2439,1
ɑ̃,374,941,2820,1
ɑ̃,331,915,2725,1
ɑ̃,267,950,2776,1
ɑ̃,446,1049,2980,1
ɑ̃,444,870,2543,1
ɑ̃,335,787,2620,1
ɑ̃,339,889,2791,1
ɑ̃,330,840,2963,1
ɑ̃,728,1230,3311,1
ɑ̃,748,997,1997,1
ɑ̃,696,1034,3448,1
ɑ̃,436,817,2579,1
ɑ̃,345,772,2424,1
ɛ̃,759,1300,2938,1
ɛ̃,779,1283,2725,1
ɛ̃,779,1220,3147,1
ɛ̃,444,1146,1866,1
ɛ̃,466,1169,3325,1
ɔ̃,383,970,2743,1
ɔ̃,378,1031,2805,1
ɔ̃,384,1095,2799,1
ɔ̃,366,1094,2821,1
ɔ̃,319,1056,2650,1
ɔ̃,399,975,2834,1
ɔ̃,356,1034,2761,1
ɔ̃,338,1044,2680,1
ɔ̃,306,1095,2746,1
ɔ̃,310,1047,2810,1
ɑ̃,437,1249,3088,1
ɑ̃,706,834,2889,1
ɑ̃,712,801,2650,1
ɑ̃,337,1073,2627,1
ɑ̃,285,1116,2708,1
ɛ̃,489,1786,2841,1
ɛ̃,721,1418,3062,1
ɛ̃,524,1129,2711,1
ɛ̃,388,1084,2495,1
ɛ̃,275,1010,2465,1
ɔ̃,330,1041,2797,1
ɔ̃,349,1104,2794,1
ɔ̃,343,1100,2650,1
ɔ̃,324,1031,2152,1
ɔ̃,307,995,2678,1
ɑ̃,432,1060,3180,1
ɑ̃,498,876,3380,1
ɑ̃,397,818,2292,1
ɑ̃,384,1027,2649,1
ɑ̃,325,872,2543,1
ɛ̃,597,1383,2875,1
ɛ̃,698,1330,3076,1
ɛ̃,528,1175,2881,1
ɛ̃,461,1083,1954,1
ɛ̃,311,1112,2501,1
ɛ̃,460,1313,2997,1
ɛ̃,761,1380,3207,1
ɛ̃,683,1294,3277,1
ɛ̃,565,1290,3050,1
