vowel,freq_f1,amp_f1,freq_f2,amp_f2,freq_f3,amp_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,
ɛ̃,632,38.08,1458,29.84,3519,19.26,215,52.55,409,38.9,37.33,52.55,215,1
ɛ̃,705,37.09,1422,30.54,3490,11.5,194,52.07,409,37.89,35.4,52.07,194,1
ɛ̃,267,52.48,1177,28.15,2032,8.49,194,52.48,388,35.4,31.44,52.48,194,1
ɛ̃,235,50.8,1142,27.93,2063,10.7,215,50.8,409,33.45,29.98,50.8,215,1
ɛ̃,243,48.23,993,25.96,2242,3.57,215,48.23,431,29.24,27.74,48.23,215,1
ɔ̃,331,55.23,895,35.93,2096,6.9,215,55.23,431,44.04,39.88,55.23,215,1
ɔ̃,296,55.27,1194,29.69,1916,11.57,215,55.27,431,44.47,34.74,55.27,215,1
ɔ̃,273,55.34,1148,26.55,2077,4.83,215,55.34,431,43.45,30.51,55.34,215,1
ɔ̃,273,52.42,1221,19.32,2061,5.8,215,52.42,452,39.3,24.52,52.42,215,1
ɔ̃,259,48.4,1374,7.18,2408,-5.64,237,48.4,474,29.28,11.41,48.4,237,1
ɑ̃,575,50.98,1297,37.3,3294,19.68,215,54.89,431,50.98,46.54,54.89,215,1
ɑ̃,724,49.23,1096,40.97,3434,23.03,215,54.67,431,46.74,49.23,54.67,215,1
ɑ̃,653,46.83,839,46.83,3598,10.06,215,53.45,431,43.4,46.66,53.45,215,1
ɑ̃,696,44.84,1316,23.57,3711,14.63,215,49.11,452,38.71,44.84,49.11,215,1
ɑ̃,204,43.03,698,41.03,1642,9.64,237,43.03,452,33.68,41.03,43.03,237,1
ɔ̃,311,53.28,1057,27.52,2330,6.15,215,53.28,409,43.44,35.57,53.28,215,1
ɔ̃,258,54.57,1164,17.84,2539,8.18,194,54.57,409,42.17,27.29,54.57,194,1
ɔ̃,234,54.68,1198,19.82,2144,8.72,215,54.68,409,39.14,20.73,54.68,215,1
ɔ̃,267,51.61,1177,16.1,2518,1.21,215,51.61,452,37.69,22.88,51.61,215,1
ɔ̃,260,45.23,1155,2.12,2368,-4.77,237,45.23,323,19.95,17.21,45.23,237,1
ɔ̃,331,54.73,1138,30.54,2025,8.85,215,54.73,409,45.9,38.35,54.73,215,1
ɔ̃,283,54.17,1391,25.32,2343,8.18,194,54.17,409,43.83,30.78,54.17,194,1
